Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;14.08.15;Bayern Munich;Hamburg;H;23;5;2;2;0;0
D1;15.08.15;Augsburg;Hertha;A;20;11;1;2;1;1
D1;15.08.15;Darmstadt;Hannover;D;11;14;1;2;0;0
D1;15.08.15;Dortmund;M'gladbach;H;17;5;0;1;0;0
D1;15.08.15;Leverkusen;Hoffenheim;H;25;6;1;0;0;0
D1;15.08.15;Mainz;Ingolstadt;A;9;14;2;3;0;0
D1;15.08.15;Werder Bremen;Schalke 04;A;15;16;0;2;0;0
D1;16.08.15;Stuttgart;FC Koln;A;28;9;3;2;0;0
D1;16.08.15;Wolfsburg;Ein Frankfurt;H;5;13;1;1;0;0
D1;21.08.15;Hertha;Werder Bremen;D;10;9;0;1;0;0
D1;22.08.15;Ein Frankfurt;Augsburg;D;11;14;2;3;0;0
D1;22.08.15;FC Koln;Wolfsburg;D;9;15;2;1;0;0
D1;22.08.15;Hamburg;Stuttgart;H;14;12;3;3;0;1
D1;22.08.15;Hannover;Leverkusen;A;6;11;0;0;0;0
D1;22.08.15;Hoffenheim;Bayern Munich;A;2;5;0;0;0;0
D1;22.08.15;Schalke 04;Darmstadt;D;21;9;1;2;0;0
D1;23.08.15;Ingolstadt;Dortmund;A;3;18;2;3;0;0
D1;23.08.15;M'gladbach;Mainz;A;15;13;2;1;0;0
D1;28.08.15;Wolfsburg;Schalke 04;H;9;12;1;2;0;0
D1;29.08.15;Augsburg;Ingolstadt;A;10;16;3;3;0;0
D1;29.08.15;Bayern Munich;Leverkusen;H;14;10;2;3;0;0
D1;29.08.15;Darmstadt;Hoffenheim;D;5;15;3;2;0;0
D1;29.08.15;FC Koln;Hamburg;H;6;17;3;2;0;1
D1;29.08.15;Mainz;Hannover;H;18;11;0;2;0;0
D1;29.08.15;Stuttgart;Ein Frankfurt;A;15;6;3;3;1;0
D1;30.08.15;Dortmund;Hertha;H;15;4;0;2;0;0
D1;30.08.15;Werder Bremen;M'gladbach;H;22;9;3;1;0;1
D1;11.09.15;M'gladbach;Hamburg;A;13;10;2;1;0;0
D1;12.09.15;Bayern Munich;Augsburg;H;27;4;0;1;0;0
D1;12.09.15;Ein Frankfurt;FC Koln;H;18;13;2;1;0;0
D1;12.09.15;Hannover;Dortmund;A;5;17;3;1;0;0
D1;12.09.15;Hertha;Stuttgart;H;9;11;0;3;0;0
D1;12.09.15;Ingolstadt;Wolfsburg;D;5;17;2;3;0;0
D1;12.09.15;Leverkusen;Darmstadt;A;16;5;3;1;0;0
D1;13.09.15;Hoffenheim;Werder Bremen;A;10;16;2;4;0;0
D1;13.09.15;Schalke 04;Mainz;H;24;15;1;3;0;0
D1;18.09.15;Mainz;Hoffenheim;H;12;13;1;2;0;0
D1;19.09.15;Darmstadt;Bayern Munich;A;5;18;2;1;0;0
D1;19.09.15;FC Koln;M'gladbach;H;11;9;0;3;0;0
D1;19.09.15;Hamburg;Ein Frankfurt;D;11;7;0;4;0;0
D1;19.09.15;Werder Bremen;Ingolstadt;A;13;13;3;4;1;0
D1;19.09.15;Wolfsburg;Hertha;H;14;9;1;2;0;0
D1;20.09.15;Augsburg;Hannover;H;17;16;1;4;0;0
D1;20.09.15;Dortmund;Leverkusen;H;22;8;1;3;0;0
D1;20.09.15;Stuttgart;Schalke 04;A;26;10;3;3;0;0
D1;22.09.15;Bayern Munich;Wolfsburg;H;17;7;1;2;0;0
D1;22.09.15;Darmstadt;Werder Bremen;H;9;12;3;1;0;1
D1;22.09.15;Hertha;FC Koln;H;17;13;1;1;0;0
D1;22.09.15;Ingolstadt;Hamburg;A;12;8;2;1;0;0
D1;23.09.15;Hannover;Stuttgart;A;8;19;3;3;0;0
D1;23.09.15;Hoffenheim;Dortmund;D;10;14;2;1;0;0
D1;23.09.15;Leverkusen;Mainz;H;20;3;3;0;0;0
D1;23.09.15;M'gladbach;Augsburg;H;21;13;2;5;0;0
D1;23.09.15;Schalke 04;Ein Frankfurt;H;13;18;2;2;0;0
D1;25.09.15;FC Koln;Ingolstadt;D;15;16;2;3;0;0
D1;26.09.15;Augsburg;Hoffenheim;A;26;11;1;4;0;0
D1;26.09.15;Hamburg;Schalke 04;A;13;10;1;3;0;0
D1;26.09.15;Mainz;Bayern Munich;A;6;17;1;1;0;0
D1;26.09.15;Stuttgart;M'gladbach;A;22;9;4;1;0;0
D1;26.09.15;Werder Bremen;Leverkusen;A;9;17;1;2;0;0
D1;26.09.15;Wolfsburg;Hannover;D;22;8;2;2;0;0
