"idMatch_results","idStadium","idTeam","idWeek","Goals","Goals_Against","numerGames","Win","Shots","Shots_On_Target","Red_Cards","Yellow_Cards"
"6233","1","1","215","2","1","1","1","13","5","0","0"
"6234","13","13","215","1","2","1","0","17","4","0","0"
"6235","16","16","215","2","0","1","1","18","3","0","3"
"6236","14","14","216","1","3","1","0","7","2","0","2"
"6237","10","10","216","4","0","1","1","33","14","0","0"
"6238","26","26","216","1","1","1","0","15","3","0","4"
"6239","4","4","216","0","0","1","0","8","2","0","1"
"6240","15","15","216","1","2","1","0","12","4","1","1"
"6241","5","5","216","2","0","1","1","12","5","0","2"
"6242","17","17","216","0","0","1","0","11","5","1","1"
"6243","21","21","216","1","2","1","0","18","6","0","1"
"6244","2","2","216","3","2","1","1","14","7","0","3"
"6245","13","13","217","3","1","1","1","7","2","0","0"
"6246","11","11","217","1","3","1","0","9","1","0","2"
"6247","12","12","217","0","0","1","0","14","3","0","1"
"6248","17","17","217","2","1","1","1","21","9","0","1"
"6249","18","18","217","1","3","1","0","5","1","0","2"
"6250","16","16","217","0","4","1","0","18","5","0","2"
"6251","1","1","217","6","0","1","1","21","12","0","0"
"6252","3","3","217","1","0","1","1","1","0","0","2"
"6253","27","27","217","3","1","1","1","16","6","0","2"
"6254","26","26","218","0","0","1","0","9","1","0","2"
"6255","10","10","218","2","0","1","1","24","9","0","0"
"6256","14","14","218","4","0","1","1","8","4","0","3"
"6257","4","4","218","3","3","1","0","18","6","0","2"
"6258","5","5","218","2","1","1","1","14","8","0","4"
"6259","7","7","218","1","3","1","0","14","3","0","2"
"6260","21","21","218","0","0","1","0","13","4","0","3"
"6261","2","2","218","4","1","1","1","14","9","0","1"
"6262","15","15","218","1","1","1","0","18","6","0","1"
"6263","18","18","219","3","1","1","1","26","8","0","1"
"6264","12","12","219","0","1","1","0","22","8","0","2"
"6265","13","13","219","1","3","1","0","20","7","0","2"
"6266","3","3","219","2","1","1","1","10","4","0","1"
"6267","27","27","219","1","1","1","0","9","2","0","2"
"6268","17","17","219","3","1","1","1","13","6","0","1"
"6269","1","1","219","1","2","1","0","22","8","0","3"
"6270","11","11","219","0","1","1","0","15","3","0","4"
"6271","16","16","219","1","1","1","0","12","4","0","2"
"6272","5","5","220","0","0","1","0","6","4","0","1"
"6273","10","10","220","2","0","1","1","14","8","0","2"
"6274","26","26","220","0","4","1","0","10","3","0","4"
"6275","4","4","220","1","0","1","1","14","5","0","1"
"6276","15","15","220","5","0","1","1","14","6","0","0"
"6277","7","7","220","1","1","1","0","10","6","0","3"
"6278","1","1","220","1","1","1","0","19","9","0","1"
"6279","21","21","220","2","1","1","1","22","6","0","2"
"6280","2","2","220","4","1","1","1","24","11","0","0"
"6281","18","18","221","1","0","1","1","16","3","0","1"
"6282","11","11","221","2","1","1","1","16","6","0","3"
"6283","12","12","221","2","1","1","1","14","6","0","3"
"6284","13","13","221","0","1","1","0","14","2","0","0"
"6285","14","14","221","0","1","1","0","6","1","0","0"
"6286","27","27","221","0","1","1","0","11","3","0","2"
"6287","16","16","221","3","1","1","1","9","6","1","1"
"6288","3","3","221","2","0","1","1","7","5","0","0"
"6289","17","17","221","3","2","1","1","13","5","1","1"
"6290","13","13","222","1","2","1","0","7","1","0","4"
"6291","12","12","222","1","3","1","0","15","4","0","0"
"6292","14","14","222","1","2","1","0","13","5","0","2"
"6293","3","3","222","0","0","1","0","12","2","0","2"
"6294","4","4","222","1","1","1","0","5","3","0","2"
"6295","27","27","222","1","0","1","1","9","4","0","2"
"6296","17","17","222","1","3","1","0","10","3","0","1"
"6297","11","11","222","3","2","1","1","12","6","0","2"
"6298","18","18","222","1","3","1","0","20","4","0","1"
"6299","5","5","223","1","0","1","1","13","2","0","0"
"6300","21","21","223","0","0","1","0","7","2","0","2"
"6301","26","26","223","0","2","1","0","6","2","0","3"
"6302","2","2","223","2","0","1","1","11","6","0","4"
"6303","15","15","223","3","0","1","1","14","6","0","0"
"6304","16","16","223","2","1","1","1","24","11","0","1"
"6305","7","7","223","3","3","1","0","16","6","0","3"
"6306","10","10","223","2","0","1","1","29","9","0","1"
"6307","1","1","223","1","1","1","0","17","4","0","3"
"6308","17","17","224","5","1","1","1","17","9","0","1"
"6309","11","11","224","2","4","1","0","17","7","1","1"
"6310","14","14","224","0","1","1","0","9","2","0","1"
"6311","3","3","224","0","0","1","0","10","4","0","0"
"6312","27","27","224","2","1","1","1","24","4","0","2"
"6313","15","15","224","0","0","1","0","6","2","0","0"
"6314","18","18","224","3","0","1","1","15","3","0","2"
"6315","13","13","224","1","1","1","0","5","4","0","5"
"6316","4","4","224","0","2","1","0","12","1","0","1"
"6317","5","5","225","2","1","1","1","11","4","0","3"
"6318","26","26","225","1","2","1","0","12","6","0","6"
"6319","2","2","225","1","0","1","1","14","7","0","1"
"6320","12","12","225","3","1","1","1","11","7","0","2"
"6321","16","16","225","2","0","1","1","15","6","0","3"
"6322","7","7","225","1","1","1","0","17","10","0","1"
"6323","1","1","225","2","0","1","1","8","5","0","0"
"6324","21","21","225","1","3","1","0","7","2","0","0"
"6325","13","13","225","3","2","1","1","17","9","0","3"
"6326","11","11","226","0","0","1","0","8","2","0","2"
"6327","10","10","226","3","1","1","1","36","13","0","2"
"6328","3","3","226","1","1","1","0","9","5","0","3"
"6329","4","4","226","3","2","1","1","13","4","0","1"
"6330","27","27","226","2","0","1","1","9","4","0","2"
"6331","17","17","226","1","0","1","1","16","5","0","2"
"6332","14","14","226","0","1","1","0","16","6","0","2"
"6333","15","15","226","0","1","1","0","9","2","0","5"
"6334","18","18","226","1","1","1","0","15","5","0","3"
"6335","12","12","227","0","1","1","0","15","3","0","2"
"6336","13","13","227","1","1","1","0","7","2","0","3"
"6337","16","16","227","1","2","1","0","22","10","0","1"
"6338","7","7","227","2","2","1","0","16","7","0","3"
"6339","1","1","227","0","2","1","0","12","8","0","0"
"6340","21","21","227","2","2","1","0","24","4","0","0"
"6341","2","2","227","3","1","1","1","26","9","0","0"
"6342","11","11","227","0","0","1","0","11","5","0","1"
"6343","5","5","227","3","1","1","1","14","7","0","1"
"6344","14","14","228","0","4","1","0","6","2","0","2"
"6345","27","27","228","1","1","1","0","14","3","0","2"
"6346","10","10","228","1","2","1","0","16","6","0","1"
"6347","26","26","228","0","2","1","0","5","1","0","0"
"6348","3","3","228","2","0","1","1","11","6","0","3"
"6349","4","4","228","2","1","1","1","14","7","0","2"
"6350","15","15","228","1","4","1","0","16","6","0","1"
"6351","17","17","228","4","0","1","1","14","6","0","1"
"6352","18","18","228","3","2","1","1","26","9","0","2"
"6353","21","21","229","3","3","1","0","10","5","1","2"
"6354","2","2","229","0","0","1","0","11","3","0","1"
"6355","11","11","229","1","1","1","0","21","3","0","5"
"6356","12","12","229","1","3","1","0","17","9","0","1"
"6357","16","16","229","5","1","1","1","21","11","0","1"
"6358","7","7","229","4","1","1","1","14","5","0","2"
"6359","1","1","229","2","1","1","1","11","3","0","2"
"6360","13","13","229","2","0","1","1","14","5","0","4"
"6361","5","5","229","0","0","1","0","11","4","1","0"
"6362","3","3","230","2","0","1","1","16","5","0","2"
"6363","10","10","230","5","0","1","1","20","13","0","1"
"6364","26","26","230","2","2","1","0","11","6","0","2"
"6365","14","14","230","0","2","1","0","17","2","0","1"
"6366","4","4","230","1","0","1","1","11","2","0","1"
"6367","27","27","230","3","3","1","0","22","8","0","2"
"6368","17","17","230","3","0","1","1","16","8","0","1"
"6369","2","2","230","2","0","1","1","22","10","0","0"
"6370","15","15","230","1","0","1","1","14","4","1","4"
"6371","18","18","231","2","1","1","1","6","3","0","1"
"6372","11","11","231","1","0","1","1","11","5","0","1"
"6373","12","12","231","0","1","1","0","6","2","0","1"
"6374","13","13","231","1","3","1","0","24","11","0","3"
"6375","3","3","231","2","1","1","1","7","2","0","2"
"6376","7","7","231","1","1","1","0","11","3","0","2"
"6377","1","1","231","1","1","1","0","20","5","0","1"
"6378","21","21","231","1","3","1","0","7","4","0","4"
"6379","16","16","231","0","2","1","0","14","5","0","3"
"6380","15","15","232","3","0","1","1","12","5","0","0"
"6381","10","10","232","1","0","1","1","21","10","0","2"
"6382","26","26","232","2","2","1","0","15","6","0","4"
"6383","2","2","232","3","2","1","1","23","8","0","1"
"6384","14","14","232","0","3","1","0","16","8","0","1"
"6385","27","27","232","3","0","1","1","12","4","0","1"
"6386","5","5","232","4","2","1","1","19","7","0","1"
"6387","4","4","232","1","1","1","0","15","5","0","2"
"6388","17","17","232","5","0","1","1","17","8","0","1"
"6389","3","3","233","2","2","1","0","13","8","0","3"
"6390","11","11","233","0","2","1","0","12","3","0","3"
"6391","13","13","233","1","2","1","0","9","3","0","3"
"6392","27","27","233","1","0","1","1","15","4","0","1"
"6393","16","16","233","1","3","1","0","9","2","0","1"
"6394","7","7","233","1","2","1","0","17","4","0","2"
"6395","1","1","233","1","1","1","0","16","3","1","2"
"6396","12","12","233","0","2","1","0","18","9","1","1"
"6397","18","18","233","2","2","1","0","10","2","0","5"
"6398","14","14","234","2","0","1","1","12","8","0","2"
"6399","21","21","234","1","0","1","1","13","6","0","2"
"6400","10","10","234","3","0","1","1","14","7","0","0"
"6401","26","26","234","2","0","1","1","6","3","0","2"
"6402","4","4","234","2","1","1","1","17","7","0","2"
"6403","15","15","234","3","0","1","1","12","6","0","4"
"6404","7","7","234","3","2","1","1","21","9","0","1"
"6405","2","2","234","3","0","1","1","14","5","0","0"
"6406","5","5","234","2","3","1","0","18","7","0","1"
"6407","13","13","235","2","1","1","1","12","7","0","3"
