Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;26.08.16;Bayern Munich;Werder Bremen;6;0;H;27;4;14;2;0;1;0;0
D1;27.08.16;Augsburg;Wolfsburg;0;2;A;13;12;2;6;1;2;0;0
D1;27.08.16;Dortmund;Mainz;2;1;H;17;12;8;4;0;3;0;0
D1;27.08.16;Ein Frankfurt;Schalke 04;1;0;H;11;11;4;3;2;2;1;0
D1;27.08.16;FC Koln;Darmstadt;2;0;H;21;12;8;3;3;3;0;0
D1;27.08.16;Hamburg;Ingolstadt;1;1;D;8;13;1;5;2;2;0;0
D1;27.08.16;M'gladbach;Leverkusen;2;1;H;14;12;9;6;3;3;0;0
D1;28.08.16;Hertha;Freiburg;2;1;H;15;8;5;2;0;3;0;0
D1;28.08.16;Hoffenheim;RB Leipzig;2;2;D;11;23;5;9;2;4;0;0
D1;09.09.16;Schalke 04;Bayern Munich;0;2;A;9;18;2;2;2;4;0;0
D1;10.09.16;Darmstadt;Ein Frankfurt;1;0;H;8;14;1;3;1;2;0;0
D1;10.09.16;Freiburg;M'gladbach;3;1;H;17;5;7;2;2;2;0;0
D1;10.09.16;Ingolstadt;Hertha;0;2;A;12;7;5;6;3;1;0;0
D1;10.09.16;Leverkusen;Hamburg;3;1;H;15;6;5;2;2;1;0;0
D1;10.09.16;RB Leipzig;Dortmund;1;0;H;10;8;4;1;2;2;0;0
D1;10.09.16;Wolfsburg;FC Koln;0;0;D;18;16;4;9;2;3;0;0
D1;11.09.16;Mainz;Hoffenheim;4;4;D;12;20;6;5;1;3;1;0
D1;11.09.16;Werder Bremen;Augsburg;1;2;A;10;18;1;5;2;3;0;0
D1;16.09.16;FC Koln;Freiburg;3;0;H;9;17;3;8;1;1;0;0
D1;17.09.16;Bayern Munich;Ingolstadt;3;1;H;10;13;5;5;1;2;0;0
D1;17.09.16;Dortmund;Darmstadt;6;0;H;22;5;14;1;0;4;0;1
D1;17.09.16;Ein Frankfurt;Leverkusen;2;1;H;17;7;8;3;3;0;0;0
D1;17.09.16;Hamburg;RB Leipzig;0;4;A;14;12;2;6;5;1;0;0
D1;17.09.16;Hoffenheim;Wolfsburg;0;0;D;20;20;5;9;2;1;0;0
D1;17.09.16;M'gladbach;Werder Bremen;4;1;H;15;9;7;5;0;3;0;1
D1;18.09.16;Augsburg;Mainz;1;3;A;12;11;5;6;1;2;0;1
D1;18.09.16;Hertha;Schalke 04;2;0;H;8;11;2;4;1;1;0;0
D1;20.09.16;Darmstadt;Hoffenheim;1;1;D;12;15;3;4;1;1;0;0
D1;20.09.16;Freiburg;Hamburg;1;0;H;19;7;4;0;1;0;0;0
D1;20.09.16;Ingolstadt;Ein Frankfurt;0;2;A;13;9;3;5;0;1;0;0
D1;20.09.16;Wolfsburg;Dortmund;1;5;A;15;10;9;9;2;0;0;0
D1;21.09.16;Bayern Munich;Hertha;3;0;H;16;2;7;2;1;0;0;0
