Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;24.08.12;Dortmund;Werder Bremen;2;1;H;19;10;6;3;2;2;0;0
D1;25.08.12;Augsburg;Fortuna Dusseldorf;0;2;A;16;9;4;4;3;2;0;0
D1;25.08.12;Ein Frankfurt;Leverkusen;2;1;H;20;19;4;10;1;2;0;0
D1;25.08.12;Freiburg;Mainz;1;1;D;8;8;4;3;0;2;0;0
D1;25.08.12;Greuther Furth;Bayern Munich;0;3;A;6;19;2;9;2;2;0;0
D1;25.08.12;Hamburg;Nurnberg;0;1;A;11;18;5;8;4;2;0;0
D1;25.08.12;M'gladbach;Hoffenheim;2;1;H;7;14;3;8;2;0;0;0
D1;25.08.12;Stuttgart;Wolfsburg;0;1;A;10;13;5;3;1;0;0;0
D1;26.08.12;Hannover;Schalke 04;2;2;D;9;15;2;7;1;3;0;0
D1;31.08.12;Mainz;Greuther Furth;0;1;A;11;7;3;2;1;3;0;0
D1;01.09.12;Fortuna Dusseldorf;M'gladbach;0;0;D;5;13;0;4;3;2;0;0
D1;01.09.12;Hoffenheim;Ein Frankfurt;0;4;A;7;17;3;5;1;2;2;0
D1;01.09.12;Leverkusen;Freiburg;2;0;H;14;8;10;1;1;1;0;0
D1;01.09.12;Nurnberg;Dortmund;1;1;D;6;18;3;6;2;2;0;0
D1;01.09.12;Schalke 04;Augsburg;3;1;H;12;22;6;4;1;2;0;0
D1;01.09.12;Werder Bremen;Hamburg;2;0;H;16;11;9;4;0;1;0;0
D1;02.09.12;Bayern Munich;Stuttgart;6;1;H;16;7;13;4;1;1;0;1
D1;02.09.12;Wolfsburg;Hannover;0;4;A;5;16;1;7;2;1;1;0
D1;14.09.12;Augsburg;Wolfsburg;0;0;D;7;11;2;4;1;2;0;0
D1;15.09.12;Bayern Munich;Mainz;3;1;H;21;7;9;1;1;2;0;0
D1;15.09.12;Dortmund;Leverkusen;3;0;H;14;6;7;2;1;2;0;0
D1;15.09.12;Greuther Furth;Schalke 04;0;2;A;9;10;0;4;2;0;0;0
D1;15.09.12;Hannover;Werder Bremen;3;2;H;13;11;5;4;3;3;1;0
D1;15.09.12;M'gladbach;Nurnberg;2;3;A;14;11;6;3;2;2;0;0
D1;15.09.12;Stuttgart;Fortuna Dusseldorf;0;0;D;10;6;3;2;1;0;0;0
D1;16.09.12;Ein Frankfurt;Hamburg;3;2;H;17;14;6;7;0;1;0;1
D1;16.09.12;Freiburg;Hoffenheim;5;3;H;23;9;9;5;2;5;0;0
D1;21.09.12;Nurnberg;Ein Frankfurt;1;2;A;14;12;5;5;1;3;0;0
D1;22.09.12;Fortuna Dusseldorf;Freiburg;0;0;D;11;11;2;3;2;2;0;0
D1;22.09.12;Hamburg;Dortmund;3;2;H;7;28;3;12;3;1;0;0
D1;22.09.12;Mainz;Augsburg;2;0;H;11;11;5;3;0;2;0;0
D1;22.09.12;Schalke 04;Bayern Munich;0;2;A;14;13;5;5;2;0;0;0
D1;22.09.12;Wolfsburg;Greuther Furth;1;1;D;12;8;5;1;0;2;0;0
D1;23.09.12;Hoffenheim;Hannover;3;1;H;16;5;6;2;3;2;0;0
D1;23.09.12;Leverkusen;M'gladbach;1;1;D;31;5;9;1;0;4;0;0
D1;23.09.12;Werder Bremen;Stuttgart;2;2;D;11;13;6;2;4;0;1;1
D1;25.09.12;Bayern Munich;Wolfsburg;3;0;H;25;4;13;1;1;1;0;0
D1;25.09.12;Ein Frankfurt;Dortmund;3;3;D;14;9;5;7;2;1;0;0
D1;25.09.12;Greuther Furth;Fortuna Dusseldorf;0;2;A;11;10;3;5;2;2;0;0
D1;25.09.12;Schalke 04;Mainz;3;0;H;16;10;9;3;2;2;0;0
D1;26.09.12;Augsburg;Leverkusen;1;3;A;11;12;6;6;1;3;0;0
D1;26.09.12;Freiburg;Werder Bremen;1;2;A;18;5;7;3;2;4;0;0
D1;26.09.12;Hannover;Nurnberg;4;1;H;7;6;4;2;3;2;0;0
D1;26.09.12;M'gladbach;Hamburg;2;2;D;9;18;4;4;2;1;1;0
D1;26.09.12;Stuttgart;Hoffenheim;0;3;A;8;16;3;10;2;2;0;0
D1;28.09.12;Fortuna Dusseldorf;Schalke 04;2;2;D;7;14;2;6;1;1;0;0
D1;29.09.12;Dortmund;M'gladbach;5;0;H;17;9;8;3;0;1;0;0
D1;29.09.12;Hamburg;Hannover;1;0;H;10;14;4;5;3;1;0;0
D1;29.09.12;Hoffenheim;Augsburg;0;0;D;9;5;2;2;2;1;1;0
D1;29.09.12;Leverkusen;Greuther Furth;2;0;H;13;7;7;1;1;1;0;0
D1;29.09.12;Nurnberg;Stuttgart;0;2;A;13;9;3;5;0;2;0;0
D1;29.09.12;Werder Bremen;Bayern Munich;0;2;A;8;19;2;5;2;2;0;0
D1;30.09.12;Ein Frankfurt;Freiburg;2;1;H;8;12;4;5;1;3;0;1
D1;30.09.12;Wolfsburg;Mainz;0;2;A;19;7;5;3;3;3;0;0
D1;05.10.12;Augsburg;Werder Bremen;3;1;H;12;15;4;5;2;1;0;0
D1;06.10.12;Bayern Munich;Hoffenheim;2;0;H;13;4;2;1;0;3;0;0
D1;06.10.12;Freiburg;Nurnberg;3;0;H;18;11;7;4;3;3;0;0
D1;06.10.12;Greuther Furth;Hamburg;0;1;A;12;8;2;4;4;2;0;0
D1;06.10.12;Mainz;Fortuna Dusseldorf;1;0;H;13;7;3;4;4;2;0;1
D1;06.10.12;Schalke 04;Wolfsburg;3;0;H;13;5;5;4;1;0;0;0
D1;07.10.12;Hannover;Dortmund;1;1;D;14;12;6;3;4;0;0;0
D1;07.10.12;M'gladbach;Ein Frankfurt;2;0;H;6;12;3;3;4;0;0;0
D1;07.10.12;Stuttgart;Leverkusen;2;2;D;10;13;2;6;2;3;0;0
D1;19.10.12;Hoffenheim;Greuther Furth;3;3;D;19;16;11;8;0;5;0;0
D1;20.10.12;Dortmund;Schalke 04;1;2;A;8;7;4;4;2;3;0;0
D1;20.10.12;Ein Frankfurt;Hannover;3;1;H;15;14;7;4;2;4;0;0
D1;20.10.12;Fortuna Dusseldorf;Bayern Munich;0;5;A;2;24;1;14;3;1;0;0
D1;20.10.12;Leverkusen;Mainz;2;2;D;14;10;8;3;4;3;0;0
D1;20.10.12;Werder Bremen;M'gladbach;4;0;H;20;9;7;2;1;2;0;0
D1;20.10.12;Wolfsburg;Freiburg;0;2;A;9;8;2;5;1;2;0;0
D1;21.10.12;Hamburg;Stuttgart;0;1;A;18;21;8;6;0;2;0;0
D1;21.10.12;Nurnberg;Augsburg;0;0;D;8;10;2;4;4;3;0;0
D1;26.10.12;Augsburg;Hamburg;0;2;A;19;10;2;4;1;3;0;0
D1;27.10.12;Fortuna Dusseldorf;Wolfsburg;1;4;A;6;10;2;7;1;1;1;0
D1;27.10.12;Freiburg;Dortmund;0;2;A;6;17;2;6;2;3;0;0
D1;27.10.12;Greuther Furth;Werder Bremen;1;1;D;10;16;3;8;3;1;0;0
D1;27.10.12;Mainz;Hoffenheim;3;0;H;11;7;5;2;1;2;0;0
D1;27.10.12;Schalke 04;Nurnberg;1;0;H;17;10;8;2;0;3;0;0
D1;28.10.12;Bayern Munich;Leverkusen;1;2;A;23;5;6;5;3;1;0;0
D1;28.10.12;Hannover;M'gladbach;2;3;A;5;14;3;9;2;1;0;0
D1;28.10.12;Stuttgart;Ein Frankfurt;2;1;H;14;13;4;7;2;3;0;0
D1;02.11.12;Ein Frankfurt;Greuther Furth;1;1;D;7;12;4;8;2;2;0;0
D1;03.11.12;Dortmund;Stuttgart;0;0;D;20;12;7;3;0;4;0;0
D1;03.11.12;Hamburg;Bayern Munich;0;3;A;7;15;3;8;2;2;0;0
D1;03.11.12;Hannover;Augsburg;2;0;H;14;10;4;5;0;0;0;0
D1;03.11.12;Hoffenheim;Schalke 04;3;2;H;6;23;4;10;2;3;0;0
D1;03.11.12;M'gladbach;Freiburg;1;1;D;14;13;4;3;1;0;0;0
D1;03.11.12;Nurnberg;Wolfsburg;1;0;H;11;3;4;2;2;3;0;0
D1;04.11.12;Leverkusen;Fortuna Dusseldorf;3;2;H;18;14;10;3;0;2;1;0
