Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;23.04.11;Leverkusen;Hoffenheim;2;1;H;D;15;9;4;3;0;1;0;0
D1;23.04.11;M'gladbach;Dortmund;1;0;H;H;7;21;2;8;0;0;0;0
D1;23.04.11;Schalke 04;Kaiserslautern;0;1;A;A;11;9;2;3;0;3;0;0
D1;23.04.11;St Pauli;Werder Bremen;1;3;A;H;5;14;3;4;2;0;0;0
D1;23.04.11;Stuttgart;Hamburg;3;0;H;H;14;11;6;4;2;0;0;0
D1;24.04.11;Nurnberg;Mainz;0;0;D;D;11;10;2;1;5;3;0;0
D1;24.04.11;Wolfsburg;FC Koln;4;1;H;H;18;14;9;4;0;0;0;0
D1;29.04.11;Kaiserslautern;St Pauli;2;0;H;H;17;15;5;6;0;1;0;0
D1;29.04.11;Werder Bremen;Wolfsburg;0;1;A;A;14;10;4;2;2;4;0;0
D1;30.04.11;Bayern Munich;Schalke 04;4;1;H;H;22;3;8;0;1;2;0;0
D1;30.04.11;Dortmund;Nurnberg;2;0;H;H;11;8;5;2;1;2;0;0
D1;30.04.11;FC Koln;Leverkusen;2;0;H;D;4;16;4;4;2;2;0;0
D1;30.04.11;Hamburg;Freiburg;0;2;A;A;16;9;5;5;3;1;0;0
