Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;05.08.11;Dortmund;Hamburg;3;1;H;16;8;5;3;1;3;0;0
D1;06.08.11;Augsburg;Freiburg;2;2;D;11;9;7;4;2;4;0;0
D1;06.08.11;FC Koln;Wolfsburg;0;3;A;7;17;1;8;0;5;1;0
D1;06.08.11;Hannover;Hoffenheim;2;1;H;7;12;4;5;2;2;0;0
D1;06.08.11;Hertha;Nurnberg;0;1;A;4;13;0;7;2;3;0;0
D1;06.08.11;Stuttgart;Schalke 04;3;0;H;12;15;6;9;1;1;0;0
D1;06.08.11;Werder Bremen;Kaiserslautern;2;0;H;19;9;5;3;1;2;0;0
D1;07.08.11;Bayern Munich;M'gladbach;0;1;A;19;7;7;3;0;1;0;0
D1;07.08.11;Mainz;Leverkusen;2;0;H;22;9;8;2;3;1;0;0
D1;13.08.11;Freiburg;Mainz;1;2;A;18;9;7;4;0;2;0;0
D1;13.08.11;Hamburg;Hertha;2;2;D;9;24;4;6;3;3;0;0
D1;13.08.11;Hoffenheim;Dortmund;1;0;H;13;15;3;4;4;1;0;0
D1;13.08.11;M'gladbach;Stuttgart;1;1;D;10;15;3;7;2;2;1;0
D1;13.08.11;Nurnberg;Hannover;1;2;A;13;4;5;3;2;3;0;0
D1;13.08.11;Schalke 04;FC Koln;5;1;H;18;6;5;2;0;3;0;0
D1;13.08.11;Wolfsburg;Bayern Munich;0;1;A;7;11;1;3;0;3;0;0
D1;14.08.11;Kaiserslautern;Augsburg;1;1;D;17;13;7;4;4;1;0;0
D1;14.08.11;Leverkusen;Werder Bremen;1;0;H;16;9;6;1;1;2;0;0
D1;19.08.11;M'gladbach;Wolfsburg;4;1;H;21;7;9;3;1;2;0;0
D1;20.08.11;Augsburg;Hoffenheim;0;2;A;12;17;4;5;1;1;0;0
D1;20.08.11;Bayern Munich;Hamburg;5;0;H;24;4;13;1;2;4;0;0
D1;20.08.11;Dortmund;Nurnberg;2;0;H;12;10;5;3;0;2;0;0
D1;20.08.11;FC Koln;Kaiserslautern;1;1;D;10;8;5;3;3;4;0;0
D1;20.08.11;Stuttgart;Leverkusen;0;1;A;11;11;0;3;1;0;1;0
D1;20.08.11;Werder Bremen;Freiburg;5;3;H;26;11;8;7;1;4;0;0
D1;21.08.11;Hannover;Hertha;1;1;D;14;10;6;4;1;6;0;0
D1;21.08.11;Mainz;Schalke 04;2;4;A;15;12;5;6;0;2;0;0
D1;26.08.11;Hertha;Stuttgart;1;0;H;16;22;5;5;0;1;0;0
D1;27.08.11;Freiburg;Wolfsburg;3;0;H;15;14;4;4;0;2;0;0
D1;27.08.11;Hamburg;FC Koln;3;4;A;15;7;6;5;1;3;0;0
D1;27.08.11;Hoffenheim;Werder Bremen;1;2;A;15;9;4;4;0;1;0;0
D1;27.08.11;Kaiserslautern;Bayern Munich;0;3;A;4;17;1;12;3;1;1;0
D1;27.08.11;Leverkusen;Dortmund;0;0;D;16;13;6;4;2;1;1;1
D1;27.08.11;Nurnberg;Augsburg;1;0;H;15;12;6;2;4;2;0;0
D1;28.08.11;Hannover;Mainz;1;1;D;19;9;8;2;2;0;0;0
D1;28.08.11;Schalke 04;M'gladbach;1;0;H;22;12;9;5;2;3;0;0
D1;09.09.11;Augsburg;Leverkusen;1;4;A;17;17;4;9;1;3;0;0
D1;10.09.11;Bayern Munich;Freiburg;7;0;H;25;3;12;1;0;0;0;0
D1;10.09.11;Dortmund;Hertha;1;2;A;25;11;6;6;1;3;0;0
D1;10.09.11;Mainz;Hoffenheim;0;4;A;13;9;2;5;0;0;0;0
D1;10.09.11;M'gladbach;Kaiserslautern;1;0;H;19;5;4;2;2;4;0;0
D1;10.09.11;Stuttgart;Hannover;3;0;H;17;9;7;5;0;1;0;0
D1;10.09.11;Werder Bremen;Hamburg;2;0;H;22;8;5;3;3;5;0;0
D1;11.09.11;FC Koln;Nurnberg;1;2;A;10;13;2;5;3;1;1;1
D1;11.09.11;Wolfsburg;Schalke 04;2;1;H;12;6;6;2;1;3;0;0
D1;16.09.11;Freiburg;Stuttgart;1;2;A;18;12;3;5;3;4;0;0
D1;17.09.11;Hamburg;M'gladbach;0;1;A;5;12;2;4;2;3;0;0
D1;17.09.11;Hertha;Augsburg;2;2;D;17;7;5;3;2;4;0;1
D1;17.09.11;Hoffenheim;Wolfsburg;3;1;H;14;10;8;6;3;1;0;1
D1;17.09.11;Kaiserslautern;Mainz;3;1;H;15;11;7;1;0;2;0;0
D1;17.09.11;Leverkusen;FC Koln;1;4;A;15;8;7;4;1;4;1;0
D1;17.09.11;Nurnberg;Werder Bremen;1;1;D;21;2;4;1;1;1;0;1
D1;18.09.11;Hannover;Dortmund;2;1;H;14;13;5;7;1;0;1;0
D1;18.09.11;Schalke 04;Bayern Munich;0;2;A;7;19;1;6;1;1;0;0
D1;23.09.11;Stuttgart;Hamburg;1;2;A;17;16;5;8;1;1;0;0
D1;24.09.11;Augsburg;Hannover;0;0;D;13;11;3;4;1;2;0;0
D1;24.09.11;Bayern Munich;Leverkusen;3;0;H;12;4;4;3;1;4;0;0
D1;24.09.11;Mainz;Dortmund;1;2;A;9;20;3;9;1;0;0;0
D1;24.09.11;M'gladbach;Nurnberg;1;0;H;21;7;9;1;1;1;0;0
D1;24.09.11;Schalke 04;Freiburg;4;2;H;16;14;7;10;1;1;0;0
D1;24.09.11;Wolfsburg;Kaiserslautern;1;0;H;6;11;3;2;1;2;1;0
D1;25.09.11;FC Koln;Hoffenheim;2;0;H;9;16;4;2;1;2;0;0
D1;25.09.11;Werder Bremen;Hertha;2;1;H;23;8;6;3;2;4;0;2
D1;30.09.11;Kaiserslautern;Stuttgart;0;2;A;22;11;3;5;2;1;0;0
D1;01.10.11;Dortmund;Augsburg;4;0;H;19;8;9;3;2;2;0;0
D1;01.10.11;Freiburg;M'gladbach;1;0;H;8;19;3;6;2;2;0;0
D1;01.10.11;Hertha;FC Koln;3;0;H;10;4;3;2;2;2;0;0
D1;01.10.11;Hoffenheim;Bayern Munich;0;0;D;17;5;5;2;1;4;0;0
D1;01.10.11;Leverkusen;Wolfsburg;3;1;H;20;7;9;1;1;2;0;0
D1;01.10.11;Nurnberg;Mainz;3;3;D;9;16;5;7;2;0;0;0
D1;02.10.11;Hamburg;Schalke 04;1;2;A;17;9;6;4;3;1;0;0
D1;02.10.11;Hannover;Werder Bremen;3;2;H;13;17;5;3;5;3;0;1
D1;14.10.11;Werder Bremen;Dortmund;0;2;A;24;9;5;5;1;1;0;1
D1;15.10.11;Bayern Munich;Hertha;4;0;H;19;3;8;0;0;1;0;0
D1;15.10.11;Mainz;Augsburg;0;1;A;18;10;5;6;3;2;0;0
D1;15.10.11;M'gladbach;Leverkusen;2;2;D;23;7;8;4;2;4;0;1
D1;15.10.11;Schalke 04;Kaiserslautern;1;2;A;14;14;4;6;3;3;1;1
D1;15.10.11;Stuttgart;Hoffenheim;2;0;H;14;15;7;5;3;1;0;0
D1;15.10.11;Wolfsburg;Nurnberg;2;1;H;12;12;5;6;2;2;0;0
D1;16.10.11;FC Koln;Hannover;2;0;H;10;12;3;6;3;4;0;0
D1;16.10.11;Freiburg;Hamburg;1;2;A;18;11;6;4;1;3;0;0
D1;21.10.11;Augsburg;Werder Bremen;1;1;D;10;22;3;7;3;2;0;0
D1;22.10.11;Dortmund;FC Koln;5;0;H;24;2;9;1;2;2;0;0
D1;22.10.11;Hamburg;Wolfsburg;1;1;D;19;8;7;4;2;1;0;0
D1;22.10.11;Hertha;Mainz;0;0;D;8;13;1;3;1;3;0;0
D1;22.10.11;Hoffenheim;M'gladbach;1;0;H;14;7;5;1;1;3;0;0
D1;22.10.11;Kaiserslautern;Freiburg;1;0;H;12;9;5;3;0;4;0;0
D1;22.10.11;Nurnberg;Stuttgart;2;2;D;17;13;7;2;1;2;0;0
D1;23.10.11;Hannover;Bayern Munich;2;1;H;12;19;3;8;4;1;1;1
D1;23.10.11;Leverkusen;Schalke 04;0;1;A;13;18;4;6;1;3;0;0
D1;28.10.11;Freiburg;Leverkusen;0;1;A;21;11;8;3;1;0;0;0
D1;29.10.11;Bayern Munich;Nurnberg;4;0;H;13;4;5;2;1;2;0;0
D1;29.10.11;Mainz;Werder Bremen;1;3;A;16;13;6;5;2;4;0;0
D1;29.10.11;M'gladbach;Hannover;2;1;H;18;14;8;2;0;3;0;0
D1;29.10.11;Schalke 04;Hoffenheim;3;1;H;16;11;10;2;1;2;0;0
D1;29.10.11;Stuttgart;Dortmund;1;1;D;12;15;6;6;3;2;0;0
D1;29.10.11;Wolfsburg;Hertha;2;3;A;17;12;5;7;3;2;0;0
D1;30.10.11;FC Koln;Augsburg;3;0;H;5;15;3;5;1;2;0;1
D1;30.10.11;Hamburg;Kaiserslautern;1;1;D;16;11;5;5;2;2;1;0
D1;04.11.11;Mainz;Stuttgart;3;1;H;15;18;9;7;2;3;1;1
D1;05.11.11;Dortmund;Wolfsburg;5;1;H;21;6;11;3;1;4;0;0
D1;05.11.11;Hertha;M'gladbach;1;2;A;11;12;3;5;0;2;0;0
D1;05.11.11;Hoffenheim;Kaiserslautern;1;1;D;11;19;3;3;5;1;0;0
D1;05.11.11;Leverkusen;Hamburg;2;2;D;15;14;5;3;2;1;0;0
D1;05.11.11;Nurnberg;Freiburg;1;2;A;12;10;4;3;4;1;0;0
