Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;24.08.18;Bayern Munich;Hoffenheim;3;1;H;16;8;5;5;1;4;0;0
D1;25.08.18;Fortuna Dusseldorf;Augsburg;1;2;A;9;14;5;7;1;0;0;0
D1;25.08.18;Freiburg;Ein Frankfurt;0;2;A;22;10;6;2;1;2;0;0
D1;25.08.18;Hertha;Nurnberg;1;0;H;10;12;3;3;2;2;0;0
D1;25.08.18;M'gladbach;Leverkusen;2;0;H;17;13;7;3;1;2;0;0
D1;25.08.18;Werder Bremen;Hannover;1;1;D;15;13;3;4;0;0;0;0
D1;25.08.18;Wolfsburg;Schalke 04;2;1;H;11;9;7;4;5;3;0;1
D1;26.08.18;Dortmund;RB Leipzig;4;1;H;10;10;5;7;2;2;0;0
D1;26.08.18;Mainz;Stuttgart;1;0;H;8;12;3;3;1;2;0;0
D1;31.08.18;Hannover;Dortmund;0;0;D;7;8;0;3;0;0;0;0
D1;01.09.18;Augsburg;M'gladbach;1;1;D;18;7;7;2;1;2;0;0
D1;01.09.18;Ein Frankfurt;Werder Bremen;1;2;A;5;11;1;6;1;2;1;0
D1;01.09.18;Hoffenheim;Freiburg;3;1;H;20;9;7;4;1;2;0;0
D1;01.09.18;Leverkusen;Wolfsburg;1;3;A;16;12;3;5;3;3;0;0
D1;01.09.18;Nurnberg;Mainz;1;1;D;19;6;4;1;2;2;0;0
D1;01.09.18;Stuttgart;Bayern Munich;0;3;A;4;20;0;6;0;0;0;0
D1;02.09.18;RB Leipzig;Fortuna Dusseldorf;1;1;D;23;14;7;8;1;4;0;0
D1;02.09.18;Schalke 04;Hertha;0;2;A;16;5;4;3;1;1;1;0
D1;14.09.18;Dortmund;Ein Frankfurt;3;1;H;10;5;6;2;0;1;0;0
D1;15.09.18;Bayern Munich;Leverkusen;3;1;H;18;3;5;1;0;1;0;1
D1;15.09.18;Fortuna Dusseldorf;Hoffenheim;2;1;H;8;18;4;5;1;2;0;0
D1;15.09.18;Mainz;Augsburg;2;1;H;22;13;7;4;1;2;0;0
D1;15.09.18;M'gladbach;Schalke 04;2;1;H;15;15;4;6;0;4;0;0
D1;15.09.18;RB Leipzig;Hannover;3;2;H;15;16;6;8;4;4;0;0
D1;15.09.18;Wolfsburg;Hertha;2;2;D;15;9;6;5;1;2;0;0
D1;16.09.18;Freiburg;Stuttgart;3;3;D;12;11;5;6;3;4;1;0
D1;16.09.18;Werder Bremen;Nurnberg;1;1;D;14;11;2;2;2;0;0;0
D1;21.09.18;Stuttgart;Fortuna Dusseldorf;0;0;D;10;19;1;7;0;2;0;0
D1;22.09.18;Augsburg;Werder Bremen;2;3;A;21;12;7;7;2;2;0;0
D1;22.09.18;Hertha;M'gladbach;4;2;H;16;17;7;4;2;2;0;0
D1;22.09.18;Hoffenheim;Dortmund;1;1;D;17;8;5;2;2;1;0;1
D1;22.09.18;Nurnberg;Hannover;2;0;H;14;9;6;3;3;1;0;1
D1;22.09.18;Schalke 04;Bayern Munich;0;2;A;10;14;2;7;2;1;0;0
D1;22.09.18;Wolfsburg;Freiburg;1;3;A;17;12;9;8;0;3;0;0
D1;23.09.18;Ein Frankfurt;RB Leipzig;1;1;D;8;9;5;2;1;1;0;0
D1;23.09.18;Leverkusen;Mainz;1;0;H;18;12;5;5;2;2;0;0
D1;25.09.18;Bayern Munich;Augsburg;1;1;D;16;12;8;4;3;2;0;0
D1;25.09.18;Freiburg;Schalke 04;1;0;H;15;15;4;3;2;4;0;0
D1;25.09.18;Hannover;Hoffenheim;1;3;A;17;17;8;9;2;2;0;0
D1;25.09.18;Werder Bremen;Hertha;3;1;H;14;12;6;2;1;3;0;0
D1;26.09.18;Dortmund;Nurnberg;7;0;H;19;4;10;1;0;2;0;0
D1;26.09.18;Fortuna Dusseldorf;Leverkusen;1;2;A;16;6;4;3;2;2;0;0
D1;26.09.18;Mainz;Wolfsburg;0;0;D;11;12;2;4;1;2;0;0
D1;26.09.18;M'gladbach;Ein Frankfurt;3;1;H;21;12;9;2;0;0;0;0
D1;26.09.18;RB Leipzig;Stuttgart;2;0;H;18;9;8;0;2;3;0;0
D1;28.09.18;Hertha;Bayern Munich;2;0;H;6;25;4;5;3;1;0;0
D1;29.09.18;Hoffenheim;RB Leipzig;1;2;A;13;18;6;7;1;3;0;0
D1;29.09.18;Leverkusen;Dortmund;2;4;A;14;16;6;10;1;1;0;0
D1;29.09.18;Nurnberg;Fortuna Dusseldorf;3;0;H;10;13;6;4;0;2;0;0
D1;29.09.18;Schalke 04;Mainz;1;0;H;15;15;2;5;2;2;0;0
D1;29.09.18;Stuttgart;Werder Bremen;2;1;H;18;14;5;3;3;4;0;1
D1;29.09.18;Wolfsburg;M'gladbach;2;2;D;13;10;3;3;2;2;0;0
D1;30.09.18;Augsburg;Freiburg;4;1;H;21;13;10;6;0;1;0;0
D1;30.09.18;Ein Frankfurt;Hannover;4;1;H;15;4;7;1;1;2;0;0
D1;05.10.18;Werder Bremen;Wolfsburg;2;0;H;15;10;5;4;1;2;0;0
D1;06.10.18;Bayern Munich;M'gladbach;0;3;A;14;7;3;3;2;2;0;0
D1;06.10.18;Dortmund;Augsburg;4;3;H;20;12;8;6;1;7;0;0
D1;06.10.18;Fortuna Dusseldorf;Schalke 04;0;2;A;9;15;3;5;3;1;0;0
D1;06.10.18;Hannover;Stuttgart;3;1;H;15;11;6;5;1;2;0;0
D1;06.10.18;Mainz;Hertha;0;0;D;23;11;3;1;0;2;0;0
D1;07.10.18;Freiburg;Leverkusen;0;0;D;7;14;1;0;3;1;0;0
