Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;22.08.14;Bayern Munich;Wolfsburg;2;1;H;17;9;10;4;0;2;0;0
D1;23.08.14;Dortmund;Leverkusen;0;2;A;11;11;4;2;1;2;0;0
D1;23.08.14;Ein Frankfurt;Freiburg;1;0;H;10;13;3;7;1;3;0;0
D1;23.08.14;FC Koln;Hamburg;0;0;D;10;19;3;4;2;2;0;0
D1;23.08.14;Hannover;Schalke 04;2;1;H;8;12;3;5;2;1;0;0
D1;23.08.14;Hertha;Werder Bremen;2;2;D;19;9;5;5;1;2;0;0
D1;23.08.14;Hoffenheim;Augsburg;2;0;H;10;12;3;2;2;3;0;0
D1;24.08.14;M'gladbach;Stuttgart;1;1;D;19;7;6;3;2;1;0;0
D1;24.08.14;Paderborn;Mainz;2;2;D;10;14;3;4;2;2;0;0
D1;29.08.14;Augsburg;Dortmund;2;3;A;12;22;3;9;2;3;0;0
D1;30.08.14;Hamburg;Paderborn;0;3;A;13;15;4;7;0;0;0;0
D1;30.08.14;Leverkusen;Hertha;4;2;H;21;3;7;1;0;1;0;0
D1;30.08.14;Schalke 04;Bayern Munich;1;1;D;8;10;4;4;4;1;0;0
D1;30.08.14;Stuttgart;FC Koln;0;2;A;14;10;5;4;1;2;0;0
D1;30.08.14;Werder Bremen;Hoffenheim;1;1;D;15;12;1;1;3;0;0;0
D1;30.08.14;Wolfsburg;Ein Frankfurt;2;2;D;14;9;11;4;3;1;0;0
D1;31.08.14;Freiburg;M'gladbach;0;0;D;17;9;4;3;1;2;0;0
D1;31.08.14;Mainz;Hannover;0;0;D;14;11;2;6;0;1;0;0
D1;12.09.14;Leverkusen;Werder Bremen;3;3;D;26;8;9;5;4;2;0;0
D1;13.09.14;Bayern Munich;Stuttgart;2;0;H;14;7;8;0;1;2;0;0
D1;13.09.14;Dortmund;Freiburg;3;1;H;15;4;6;3;1;4;0;0
D1;13.09.14;Hertha;Mainz;1;3;A;17;7;3;6;3;3;0;0
D1;13.09.14;Hoffenheim;Wolfsburg;1;1;D;15;22;6;5;1;0;0;1
D1;13.09.14;M'gladbach;Schalke 04;4;1;H;23;11;9;6;2;3;0;0
D1;13.09.14;Paderborn;FC Koln;0;0;D;8;4;4;1;0;2;0;0
D1;14.09.14;Ein Frankfurt;Augsburg;0;1;A;14;17;5;7;3;4;0;0
D1;14.09.14;Hannover;Hamburg;2;0;H;11;11;4;0;3;3;0;0
D1;19.09.14;Freiburg;Hertha;2;2;D;15;7;5;2;0;4;0;1
D1;20.09.14;Augsburg;Werder Bremen;4;2;H;19;13;7;6;1;4;0;0
D1;20.09.14;Hamburg;Bayern Munich;0;0;D;4;15;0;3;4;2;0;0
D1;20.09.14;Mainz;Dortmund;2;0;H;8;20;5;4;2;1;0;0
D1;20.09.14;Paderborn;Hannover;2;0;H;17;14;4;2;1;0;0;0
D1;20.09.14;Schalke 04;Ein Frankfurt;2;2;D;8;15;3;4;1;2;2;1
D1;20.09.14;Stuttgart;Hoffenheim;0;2;A;17;10;2;4;0;2;0;0
D1;21.09.14;FC Koln;M'gladbach;0;0;D;10;9;7;1;2;2;0;0
D1;21.09.14;Wolfsburg;Leverkusen;4;1;H;17;12;9;1;1;1;0;1
D1;23.09.14;Bayern Munich;Paderborn;4;0;H;25;6;9;2;0;0;0;0
D1;23.09.14;Ein Frankfurt;Mainz;2;2;D;16;5;8;5;3;3;0;0
D1;23.09.14;Hoffenheim;Freiburg;3;3;D;18;6;8;4;3;3;0;1
D1;23.09.14;Werder Bremen;Schalke 04;0;3;A;12;11;4;4;4;3;0;0
D1;24.09.14;Dortmund;Stuttgart;2;2;D;25;10;9;5;2;2;0;0
D1;24.09.14;Hannover;FC Koln;1;0;H;9;9;4;3;0;2;0;0
D1;24.09.14;Hertha;Wolfsburg;1;0;H;3;13;3;3;3;2;0;0
D1;24.09.14;Leverkusen;Augsburg;1;0;H;17;11;3;4;3;2;0;0
D1;24.09.14;M'gladbach;Hamburg;1;0;H;20;14;9;1;1;1;0;0
D1;26.09.14;Mainz;Hoffenheim;0;0;D;10;13;3;3;1;2;0;0
D1;27.09.14;FC Koln;Bayern Munich;0;2;A;8;21;3;8;0;0;0;0
D1;27.09.14;Freiburg;Leverkusen;0;0;D;8;16;3;8;2;4;1;1
D1;27.09.14;Paderborn;M'gladbach;1;2;A;24;11;8;4;1;1;0;0
