Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;20.08.10;Bayern Munich;Wolfsburg;H;17;11;1;3;0;0
D1;21.08.10;FC Koln;Kaiserslautern;A;10;17;1;2;1;0
D1;21.08.10;Freiburg;St Pauli;A;9;17;0;0;0;0
D1;21.08.10;Hamburg;Schalke 04;H;18;13;2;0;0;1
D1;21.08.10;Hannover;Ein Frankfurt;H;13;17;0;1;0;0
D1;21.08.10;Hoffenheim;Werder Bremen;H;10;10;1;2;0;0
D1;21.08.10;M'gladbach;Nurnberg;D;12;10;1;1;0;0
D1;22.08.10;Dortmund;Leverkusen;A;14;15;0;0;0;0
D1;22.08.10;Mainz;Stuttgart;H;17;14;4;1;0;0
D1;27.08.10;Kaiserslautern;Bayern Munich;H;11;20;0;1;1;0
D1;28.08.10;Ein Frankfurt;Hamburg;A;12;14;2;1;0;0
D1;28.08.10;Nurnberg;Freiburg;A;17;5;2;1;0;0
D1;28.08.10;Schalke 04;Hannover;A;15;11;2;2;0;0
D1;28.08.10;St Pauli;Hoffenheim;A;12;8;2;0;0;0
D1;28.08.10;Werder Bremen;FC Koln;H;17;11;1;2;0;0
D1;28.08.10;Wolfsburg;Mainz;A;8;13;3;3;0;0
D1;29.08.10;Leverkusen;M'gladbach;A;12;16;1;1;0;0
D1;29.08.10;Stuttgart;Dortmund;A;11;16;0;2;0;0
D1;10.09.10;Hoffenheim;Schalke 04;H;23;14;1;1;0;0
D1;11.09.10;Bayern Munich;Werder Bremen;D;14;13;0;0;0;0
D1;11.09.10;Dortmund;Wolfsburg;H;20;6;2;3;0;0
D1;11.09.10;Freiburg;Stuttgart;H;19;18;1;1;0;0
D1;11.09.10;Hamburg;Nurnberg;D;7;10;3;3;0;0
D1;11.09.10;Hannover;Leverkusen;D;9;12;2;4;1;0
D1;11.09.10;M'gladbach;Ein Frankfurt;A;16;11;3;2;0;0
D1;12.09.10;FC Koln;St Pauli;H;15;11;3;3;0;0
D1;12.09.10;Mainz;Kaiserslautern;H;16;10;1;5;0;0
D1;17.09.10;Ein Frankfurt;Freiburg;A;10;17;1;2;0;0
D1;18.09.10;Bayern Munich;FC Koln;D;21;8;0;1;0;0
D1;18.09.10;Kaiserslautern;Hoffenheim;D;16;6;1;0;0;0
D1;18.09.10;Stuttgart;M'gladbach;H;24;7;0;2;0;0
D1;18.09.10;Werder Bremen;Mainz;A;12;11;1;1;0;0
D1;18.09.10;Wolfsburg;Hannover;H;12;9;2;2;0;0
D1;19.09.10;Leverkusen;Nurnberg;D;10;7;1;2;0;0
D1;19.09.10;Schalke 04;Dortmund;A;8;23;0;3;1;0
D1;19.09.10;St Pauli;Hamburg;D;7;10;2;2;0;0
D1;21.09.10;Hannover;Werder Bremen;H;14;12;2;3;0;0
D1;21.09.10;Hoffenheim;Bayern Munich;A;11;12;1;2;0;0
D1;21.09.10;Mainz;FC Koln;H;20;8;3;3;0;0
D1;22.09.10;Dortmund;Kaiserslautern;H;21;9;1;4;0;0
D1;22.09.10;Freiburg;Schalke 04;A;8;7;3;3;1;0
D1;22.09.10;Hamburg;Wolfsburg;A;19;8;0;0;0;0
D1;22.09.10;Leverkusen;Ein Frankfurt;H;13;7;2;1;0;1
D1;22.09.10;M'gladbach;St Pauli;A;16;11;1;2;1;0
D1;22.09.10;Nurnberg;Stuttgart;H;11;9;3;3;1;0
D1;24.09.10;FC Koln;Hoffenheim;D;13;13;3;1;0;0
D1;25.09.10;Bayern Munich;Mainz;A;14;7;0;2;0;0
D1;25.09.10;Ein Frankfurt;Nurnberg;H;12;15;4;1;0;0
D1;25.09.10;Schalke 04;M'gladbach;D;22;11;1;4;0;1
D1;25.09.10;St Pauli;Dortmund;A;11;11;0;0;0;0
D1;25.09.10;Stuttgart;Leverkusen;A;6;16;2;1;1;0
D1;25.09.10;Werder Bremen;Hamburg;H;15;13;2;2;0;0
D1;26.09.10;Kaiserslautern;Hannover;A;19;5;0;3;0;0
D1;26.09.10;Wolfsburg;Freiburg;H;13;15;1;2;0;0
D1;01.10.10;Hannover;St Pauli;A;7;10;2;2;1;0
D1;02.10.10;Freiburg;FC Koln;H;13;12;1;4;0;0
D1;02.10.10;Hamburg;Kaiserslautern;H;12;8;1;2;0;0
D1;02.10.10;Mainz;Hoffenheim;H;12;17;1;5;0;1
D1;02.10.10;M'gladbach;Wolfsburg;D;26;11;2;2;0;0
D1;02.10.10;Nurnberg;Schalke 04;H;10;6;1;3;0;1
D1;03.10.10;Dortmund;Bayern Munich;H;13;9;0;3;0;0
D1;03.10.10;Leverkusen;Werder Bremen;D;17;10;2;4;0;0
D1;03.10.10;Stuttgart;Ein Frankfurt;A;13;12;2;4;1;0
D1;15.10.10;FC Koln;Dortmund;A;16;20;2;4;0;0
D1;16.10.10;Bayern Munich;Hannover;H;15;7;3;1;0;0
D1;16.10.10;Mainz;Hamburg;A;13;12;1;3;0;0
D1;16.10.10;Schalke 04;Stuttgart;D;16;10;0;3;0;0
D1;16.10.10;St Pauli;Nurnberg;H;14;14;2;3;0;0
D1;16.10.10;Werder Bremen;Freiburg;H;21;13;0;0;0;0
D1;16.10.10;Wolfsburg;Leverkusen;A;9;16;1;5;0;0
D1;17.10.10;Hoffenheim;M'gladbach;H;27;12;1;3;0;2
D1;17.10.10;Kaiserslautern;Ein Frankfurt;A;10;9;1;3;0;0
D1;22.10.10;Hamburg;Bayern Munich;D;16;11;1;2;0;0
D1;23.10.10;Ein Frankfurt;Schalke 04;D;17;5;2;1;0;0
D1;23.10.10;Freiburg;Kaiserslautern;H;13;17;2;1;0;0
D1;23.10.10;Hannover;FC Koln;H;8;9;1;1;0;0
D1;23.10.10;M'gladbach;Werder Bremen;A;17;14;2;2;0;0
D1;23.10.10;Nurnberg;Wolfsburg;H;17;8;1;3;0;0
D1;24.10.10;Dortmund;Hoffenheim;D;17;9;1;3;0;1
D1;24.10.10;Leverkusen;Mainz;A;16;10;0;1;0;0
D1;24.10.10;Stuttgart;St Pauli;H;15;17;3;2;0;0
D1;29.10.10;Bayern Munich;Freiburg;H;16;6;0;3;0;0
D1;30.10.10;FC Koln;Hamburg;H;8;11;2;1;0;0
D1;30.10.10;Kaiserslautern;M'gladbach;H;14;13;2;1;0;0
D1;30.10.10;Schalke 04;Leverkusen;A;7;11;1;0;0;0
D1;30.10.10;St Pauli;Ein Frankfurt;A;14;8;2;2;1;0
D1;30.10.10;Werder Bremen;Nurnberg;A;12;17;2;2;0;0
D1;30.10.10;Wolfsburg;Stuttgart;H;18;12;0;2;0;0
D1;31.10.10;Hoffenheim;Hannover;H;18;5;1;1;0;1
D1;31.10.10;Mainz;Dortmund;A;11;17;1;0;0;0
D1;05.11.10;Schalke 04;St Pauli;H;13;6;1;2;0;0
D1;06.11.10;Ein Frankfurt;Wolfsburg;H;15;13;1;2;0;0
D1;06.11.10;Freiburg;Mainz;H;14;6;2;1;0;0
D1;06.11.10;Hamburg;Hoffenheim;H;18;13;1;4;0;0
D1;06.11.10;M'gladbach;Bayern Munich;D;9;16;1;0;0;0
D1;06.11.10;Nurnberg;FC Koln;H;20;7;1;1;0;0
D1;07.11.10;Hannover;Dortmund;A;7;19;0;2;1;0
