Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;22.08.14;Bayern Munich;Wolfsburg;H;17;9;0;2;0;0
D1;23.08.14;Dortmund;Leverkusen;A;11;11;1;2;0;0
D1;23.08.14;Ein Frankfurt;Freiburg;H;10;13;1;3;0;0
D1;23.08.14;FC Koln;Hamburg;D;10;19;2;2;0;0
D1;23.08.14;Hannover;Schalke 04;H;8;12;2;1;0;0
D1;23.08.14;Hertha;Werder Bremen;D;19;9;1;2;0;0
D1;23.08.14;Hoffenheim;Augsburg;H;10;12;2;3;0;0
D1;24.08.14;M'gladbach;Stuttgart;D;19;7;2;1;0;0
D1;24.08.14;Paderborn;Mainz;D;10;14;2;2;0;0
D1;29.08.14;Augsburg;Dortmund;A;12;22;2;3;0;0
D1;30.08.14;Hamburg;Paderborn;A;13;15;0;0;0;0
D1;30.08.14;Leverkusen;Hertha;H;21;3;0;1;0;0
D1;30.08.14;Schalke 04;Bayern Munich;D;8;10;4;1;0;0
D1;30.08.14;Stuttgart;FC Koln;A;14;10;1;2;0;0
D1;30.08.14;Werder Bremen;Hoffenheim;D;15;12;3;0;0;0
D1;30.08.14;Wolfsburg;Ein Frankfurt;D;14;9;3;1;0;0
D1;31.08.14;Freiburg;M'gladbach;D;17;9;1;2;0;0
D1;31.08.14;Mainz;Hannover;D;14;11;0;1;0;0
D1;12.09.14;Leverkusen;Werder Bremen;D;26;8;4;2;0;0
D1;13.09.14;Bayern Munich;Stuttgart;H;14;7;1;2;0;0
D1;13.09.14;Dortmund;Freiburg;H;15;4;1;4;0;0
D1;13.09.14;Hertha;Mainz;A;17;7;3;3;0;0
D1;13.09.14;Hoffenheim;Wolfsburg;D;15;22;1;0;0;1
D1;13.09.14;M'gladbach;Schalke 04;H;23;11;2;3;0;0
D1;13.09.14;Paderborn;FC Koln;D;8;4;0;2;0;0
D1;14.09.14;Ein Frankfurt;Augsburg;A;14;17;3;4;0;0
D1;14.09.14;Hannover;Hamburg;H;11;11;3;3;0;0
D1;19.09.14;Freiburg;Hertha;D;15;7;0;4;0;1
D1;20.09.14;Augsburg;Werder Bremen;H;19;13;1;4;0;0
D1;20.09.14;Hamburg;Bayern Munich;D;4;15;4;2;0;0
D1;20.09.14;Mainz;Dortmund;H;8;20;2;1;0;0
D1;20.09.14;Paderborn;Hannover;H;17;14;1;0;0;0
D1;20.09.14;Schalke 04;Ein Frankfurt;D;8;15;1;2;2;1
