Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;07.08.09;Wolfsburg;Stuttgart;H;13;14;0;0;0;0
D1;08.08.09;Dortmund;FC Koln;H;24;7;0;1;0;0
D1;08.08.09;Hertha;Hannover;H;10;15;3;2;0;0
D1;08.08.09;Hoffenheim;Bayern Munich;D;9;9;0;2;0;0
D1;08.08.09;Mainz;Leverkusen;D;8;13;1;2;0;0
D1;08.08.09;Nurnberg;Schalke 04;A;14;9;2;1;0;0
D1;08.08.09;Werder Bremen;Ein Frankfurt;A;22;15;1;2;1;0
D1;09.08.09;Bochum;M'gladbach;D;28;10;3;1;0;1
D1;09.08.09;Freiburg;Hamburg;D;17;14;2;1;0;0
D1;15.08.09;Bayern Munich;Werder Bremen;D;9;10;1;0;0;0
D1;15.08.09;Ein Frankfurt;Nurnberg;D;12;21;1;1;0;0
D1;15.08.09;FC Koln;Wolfsburg;A;13;20;1;0;0;0
D1;15.08.09;Hamburg;Dortmund;H;18;12;0;1;0;0
D1;15.08.09;Hannover;Mainz;D;13;8;0;2;0;0
D1;15.08.09;Leverkusen;Hoffenheim;H;14;3;3;2;0;0
D1;15.08.09;Stuttgart;Freiburg;H;13;13;2;3;0;0
D1;16.08.09;M'gladbach;Hertha;H;20;21;2;2;0;0
D1;16.08.09;Schalke 04;Bochum;H;18;11;1;2;0;0
D1;21.08.09;Hoffenheim;Schalke 04;D;17;3;4;4;0;0
D1;22.08.09;Dortmund;Stuttgart;D;13;16;2;2;0;0
D1;22.08.09;FC Koln;Ein Frankfurt;D;15;11;4;3;0;1
D1;22.08.09;Freiburg;Leverkusen;A;15;12;1;2;0;0
D1;22.08.09;Mainz;Bayern Munich;H;17;19;0;0;0;0
D1;22.08.09;Nurnberg;Hannover;A;7;16;2;2;0;0
D1;23.08.09;Bochum;Hertha;H;15;9;1;2;0;0
D1;23.08.09;Werder Bremen;M'gladbach;H;20;6;1;3;0;0
D1;23.08.09;Wolfsburg;Hamburg;A;12;27;4;2;0;0
D1;28.08.09;M'gladbach;Mainz;H;17;9;1;2;0;0
D1;29.08.09;Bayern Munich;Wolfsburg;H;18;18;0;0;0;0
D1;29.08.09;Ein Frankfurt;Dortmund;D;16;14;1;3;0;0
D1;29.08.09;Hannover;Hoffenheim;A;13;11;0;2;0;0
D1;29.08.09;Leverkusen;Bochum;H;32;5;2;3;0;0
D1;29.08.09;Schalke 04;Freiburg;A;15;9;0;0;0;0
D1;29.08.09;Stuttgart;Nurnberg;D;14;11;1;1;0;0
D1;30.08.09;Hamburg;FC Koln;H;18;12;0;2;0;0
D1;30.08.09;Hertha;Werder Bremen;A;18;18;0;1;0;0
D1;12.09.09;Dortmund;Bayern Munich;A;8;9;0;0;0;0
D1;12.09.09;Freiburg;Ein Frankfurt;A;14;11;2;4;0;0
D1;12.09.09;Hamburg;Stuttgart;H;18;14;1;3;0;0
D1;12.09.09;Hoffenheim;Bochum;H;21;6;0;4;0;0
D1;12.09.09;Mainz;Hertha;H;10;8;2;2;0;0
D1;12.09.09;Nurnberg;M'gladbach;H;10;18;1;0;0;0
D1;12.09.09;Wolfsburg;Leverkusen;A;14;15;4;2;1;1
D1;13.09.09;FC Koln;Schalke 04;A;14;6;2;2;0;0
D1;13.09.09;Werder Bremen;Hannover;D;16;12;2;1;0;0
D1;18.09.09;Schalke 04;Wolfsburg;A;15;10;0;1;0;0
D1;19.09.09;Bayern Munich;Nurnberg;H;23;5;0;0;0;0
D1;19.09.09;Bochum;Mainz;A;12;8;4;3;0;0
D1;19.09.09;Hannover;Dortmund;D;13;11;3;0;0;0
D1;19.09.09;M'gladbach;Hoffenheim;A;13;23;3;2;0;0
D1;19.09.09;Stuttgart;FC Koln;A;14;6;4;2;0;0
D1;20.09.09;Ein Frankfurt;Hamburg;D;8;20;1;1;0;0
D1;20.09.09;Hertha;Freiburg;A;17;16;1;0;0;0
D1;20.09.09;Leverkusen;Werder Bremen;D;8;7;1;0;0;0
D1;25.09.09;Nurnberg;Bochum;A;15;11;1;2;0;0
D1;26.09.09;Dortmund;Schalke 04;A;16;12;0;1;0;0
D1;26.09.09;Ein Frankfurt;Stuttgart;A;10;20;1;0;1;0
D1;26.09.09;FC Koln;Leverkusen;A;7;13;3;2;1;0
D1;26.09.09;Hamburg;Bayern Munich;H;14;9;2;3;0;0
